Model Name,histogram_type_default,histogram_type_actual,ntrees_default,ntrees_actual,max_depth_default,max_depth_actual,min_rows_default,min_rows_actual,learn_rate_default,learn_rate_actual,sample_rate_default,sample_rate_actual,col_sample_rate_default,col_sample_rate_actual,col_sample_rate_per_tree_default,col_sample_rate_per_tree_actual,min_split_improvement_default,min_split_improvement_actual
GBM_5_AutoML_20190424_171447,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_5_AutoML_20190424_170347,AUTO,AUTO,50,54,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_5_AutoML_20190424_174041,AUTO,AUTO,50,55,5,15,10.0,100.0,0.1,0.1,1.0,0.8,1.0,0.8,1.0,0.8,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_18,AUTO,AUTO,50,416,5,14,10.0,15.0,0.1,0.005,1.0,0.5,1.0,0.7,1.0,0.7,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_19,AUTO,AUTO,50,381,5,7,10.0,5.0,0.1,0.005,1.0,0.8,1.0,0.7,1.0,1.0,1e-05,0.0001
GBM_grid_1_AutoML_20190424_171447_model_8,AUTO,AUTO,50,51,5,9,10.0,100.0,0.1,0.5,1.0,0.7,1.0,0.4,1.0,0.4,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_24,AUTO,AUTO,50,31,5,11,10.0,1.0,0.1,0.08,1.0,0.9,1.0,0.4,1.0,0.7,1e-05,1e-05
GBM_grid_1_AutoML_20190424_170347_model_1,AUTO,AUTO,50,279,5,15,10.0,100.0,0.1,0.01,1.0,1.0,1.0,0.7,1.0,1.0,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_8,AUTO,AUTO,50,32,5,8,10.0,5.0,0.1,0.5,1.0,1.0,1.0,1.0,1.0,0.7,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_20,AUTO,AUTO,50,31,5,4,10.0,5.0,0.1,0.5,1.0,0.7,1.0,0.7,1.0,1.0,1e-05,0.0001
GBM_grid_1_AutoML_20190424_174041_model_9,AUTO,AUTO,50,34,5,5,10.0,10.0,0.1,0.5,1.0,0.7,1.0,0.4,1.0,0.7,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_25,AUTO,AUTO,50,20,5,12,10.0,15.0,0.1,0.1,1.0,0.8,1.0,0.4,1.0,1.0,1e-05,1e-05
GBM_grid_1_AutoML_20190424_171447_model_7,AUTO,AUTO,50,316,5,11,10.0,1.0,0.1,0.005,1.0,0.9,1.0,1.0,1.0,0.4,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_14,AUTO,AUTO,50,342,5,11,10.0,100.0,0.1,0.008,1.0,0.6,1.0,1.0,1.0,0.4,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_23,AUTO,AUTO,50,200,5,10,10.0,15.0,0.1,0.008,1.0,0.6,1.0,0.4,1.0,1.0,1e-05,1e-05
GBM_grid_1_AutoML_20190424_170347_model_5,AUTO,AUTO,50,25,5,9,10.0,30.0,0.1,0.08,1.0,0.9,1.0,0.4,1.0,0.7,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_16,AUTO,AUTO,50,422,5,3,10.0,100.0,0.1,0.005,1.0,0.9,1.0,0.7,1.0,0.7,1e-05,0.0001
GBM_grid_1_AutoML_20190424_174041_model_10,AUTO,AUTO,50,424,5,16,10.0,100.0,0.1,0.005,1.0,0.7,1.0,0.4,1.0,0.7,1e-05,1e-05
GBM_grid_1_AutoML_20190424_171447_model_9,AUTO,AUTO,50,30,5,16,10.0,1.0,0.1,0.8,1.0,1.0,1.0,0.7,1.0,1.0,1e-05,0.0001
GBM_grid_1_AutoML_20190424_171447_model_2,AUTO,AUTO,50,30,5,7,10.0,30.0,0.1,0.8,1.0,0.6,1.0,0.7,1.0,0.7,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_2,AUTO,AUTO,50,30,5,8,10.0,15.0,0.1,0.8,1.0,0.6,1.0,0.4,1.0,1.0,1e-05,1e-05
GBM_grid_1_AutoML_20190424_171447_model_3,AUTO,AUTO,50,30,5,7,10.0,1.0,0.1,0.8,1.0,0.9,1.0,0.4,1.0,0.4,1e-05,1e-05
GBM_grid_1_AutoML_20190424_171447_model_15,AUTO,AUTO,50,1,5,12,10.0,30.0,0.1,0.5,1.0,0.7,1.0,1.0,1.0,0.4,1e-05,0.0001
GBM_grid_1_AutoML_20190424_171447_model_13,AUTO,AUTO,50,56,5,4,10.0,30.0,0.1,0.008,1.0,0.8,1.0,0.4,1.0,1.0,1e-05,1e-05
GBM_grid_1_AutoML_20190424_170347_model_6,AUTO,AUTO,50,9,5,4,10.0,5.0,0.1,0.05,1.0,0.8,1.0,0.4,1.0,0.4,1e-05,1e-05
GBM_grid_1_AutoML_20190424_170347_model_4,AUTO,AUTO,50,60,5,15,10.0,5.0,0.1,0.005,1.0,0.5,1.0,0.7,1.0,1.0,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_26,AUTO,AUTO,50,1,5,14,10.0,1.0,0.1,0.08,1.0,0.7,1.0,0.7,1.0,0.7,1e-05,0.0001
GBM_grid_1_AutoML_20190424_171447_model_14,AUTO,AUTO,50,5,5,15,10.0,30.0,0.1,0.008,1.0,1.0,1.0,1.0,1.0,0.7,1e-05,1e-05
GBM_grid_1_AutoML_20190424_174041_model_22,AUTO,AUTO,50,30,5,7,10.0,30.0,0.1,0.001,1.0,0.8,1.0,0.4,1.0,1.0,1e-05,0.0001
GBM_grid_1_AutoML_20190424_170347_model_7,AUTO,AUTO,50,1,5,15,10.0,100.0,0.1,0.008,1.0,0.6,1.0,1.0,1.0,1.0,1e-05,0.0001
